Citation,Response,True_label
"Thus, B. nigricornis could potentially transmit CaLsol from carrot to potato crops and viceversa.Although eggs and immatures B. nigricornis are rarely observed during visual inspections in the field, the reproduction and presence of this psyllid species on potato crops has been confirmed (Hodkinson et al. 1981;Antolínez et al. 2019) and has been reported to cause severe yield losses in Iran (Fathi et al. 2011).Although CaLsol-positive adults of B. nigricornis have been found in potato crops in Spain, the role of this species in transmitting the bacterium to potato was never demonstrated (Teresani et al. 2015).Accordingly, a study of the possible role of B. nigricornis as a vector of CaLsol on potato was strongly needed because of the important economic losses in the carrot and potato industry associated with pathogen spread (Liefting et al. 2009; Munyaneza 2010; Munyaneza et al. 2010a; 2012; @@CITATION@@ Alfaro-Fernández et al. 2012a;2012b;Bertolini et al. 2015;Munyaneza 2015).For this reason, we conducted a series of transmission experiments under controlled conditions at ICA-CSIC (Madrid, Spain) to evaluate the transmission rate of CaLsol (haplotype E) by B. nigricornis in carrot and potato plants. Bactericera nigricornis CaLsol-free and CaLso-infected colonies were established at the ICA-CSIC and used for the assays. First, a B. nigricornis CaLSol-free colony was established by collecting insects from a population in a potato field in Valladolid, Spain, in 2016. ","1. Motivation
2. Support
3. Usage",motivation
"The AP, PD and ESFY phytoplasmas are closely related phylogenetically.In interspecific comparisons of the AP/PD, AP/ESFY and PD/ESFY agents, differences in 16S rDNA sequences were 1?0-1?1, 1?3-1?5 and 1?2-1?3 %, respectively.Strain PYLR1 is related most closely to the PD strains, with which it shares 99?6 % sequence similarity, whereas similarity values between the AP and ESFY strains were 98?4-98?6 %.Sequence similarity values within taxa and divergence between taxa largely confirm the results of previous work @@CITATION@@ (Seemu ¨ller et al., , 1998b)).Phylogenetic relatedness of the phytoplasmas examined is depicted in Fig. 1. Strains of each of the three pathogens cluster tightly together and form three distinct branches. The PYLR agent clusters with the PD strains. ","1. CoCoRes
2. Support
3. Neutral",support
"The AP, PD and ESFY phytoplasmas are closely related phylogenetically.In interspecific comparisons of the AP/PD, AP/ESFY and PD/ESFY agents, differences in 16S rDNA sequences were 1?0-1?1, 1?3-1?5 and 1?2-1?3 %, respectively.Strain PYLR1 is related most closely to the PD strains, with which it shares 99?6 % sequence similarity, whereas similarity values between the AP and ESFY strains were 98?4-98?6 %.Sequence similarity values within taxa and divergence between taxa largely confirm the results of previous work (Seemu ¨ller et al., 1994 @@CITATION@@ .Phylogenetic relatedness of the phytoplasmas examined is depicted in Fig. 1. Strains of each of the three pathogens cluster tightly together and form three distinct branches. The PYLR agent clusters with the PD strains. ","1. CoCoRes
2. Support
3. Neutral",support
"Their economic importance has risen in the past 20 years probably due to globalization (increasing trade of plant material over the world) and also due to global warming that facilitates the expansion and adaptation of psyllid pests into new habitats and geographical regions (Fereres 2015).Psyllids are vectors of economically important phytoplasma diseases of fruit trees such as pear decline (PD), apple proliferation, and European stone fruit yellows (Bertaccini et al. 2019).All these diseases are transmitted by a single genus: Cacopsylla spp., and are mainly restricted to the Paleartic regions.Cacopsylla melanoneura (Foerster 1848; Hemiptera: Psyllidae) and C. picta (Foerster 1848; Hemiptera: Psyllidae) are well-known vectors of apple proliferation phytoplasma (Candidatus Phytoplasma mali; Tedeschi &amp; Alma 2004; @@CITATION@@ .This serious disease is spread across Europe and infects apples. Other economically important diseases in fruit trees are PD transmitted by C. pyricola (Foerster 1848; Hemiptera: Psyllidae) in the UK (Davies et al. 1992) and by C. pyri (Linné, 1961;Hemiptera: Psyllidae) in France (Lemoine 1991) and Italy (Carraro et al. 1998a). Additionally, European stone fruit yellows phytoplasma is transmitted by C. pruni (Scopoli 1763; Hemiptera: Psyllidae) (Carraro et al. 1998b). ","1. Support
2. Neutral
3. Similar",neutral
"Several studies have been conducted in South Africa with varying temperatures but the results are variable, sometimes contradictory, and the duration of each life stage (egg, nymph and adult) is unclear.Unfortunately, reliable basal and upper developmental temperatures from which phenological models could be developed using minimum and maximum temperature thresholds have not been determined.Nymphal development depends mainly on temperature and may take from 17 to 43 d at 25 °C and 14 °C, respectively (Catling 1973).The lower temperature threshold for development is about 10 °C (Catling 1973), whereas a temperature of 32 °C, with low relative humidity, is particularly deleterious for all instars @@CITATION@@ .The first instar lasts the longest, probably because of the long time needed for the crawlers to settle and establish themselves. Nymphal development is prolonged on poorly nourished citrus leaves. In the field, young growth in poor condition also causes high rates of mortality and produces flattened nymphs of reduced size (Catling 1971). ","1. CoCoRes
2. Usage
3. Support",neutral
"Insects were collected from Pyrus communis L. (pear), Malus domestica (Borkh.)(apple), Crataegus monogyna (Jacquin) (hawthorn), Prunus spinosa (L.) (blackthorn), Prunus domestica (L.) (plum) and Salix caprea (L.) (goat willow) using the beat-tray method, and from Abies alba (Miller) (silver fir), Picea abies (L.) (Norway spruce), Larix decidua (Miller) (European larch) and Pinus sylvestris (L.) (Scots pine) by means of a sweep net (35 cm diam) with a 5-m telescopic handle (Čermák and Lauterer 2008).For the beat-tray method, also called 'frappage', a white plastic tray (250× 350 mm) was held beneath the tree branches and the branches were struck several times to dislodge insects into the tray.The psyllids were then collected in glass tubes by means of a mouth aspirator and brought to the laboratory for further analyses @@CITATION@@ Tedeschi et al. 2002).The species Cacopsylla pyrisuga (Förster), Cacopsylla pyricola (Förster), Cacopsylla peregrina (Förster), Cacopsylla crataegi (Schrank), Cacopsylla nigrita (Zetterstedt), Cacopsylla breviantennata (Flor), Cacopsylla pruni (Scopoli) and Cacopsylla ambigua (Förster) were identified by examining the forewings and male and female terminalia (Ossiannilsson 1992). Cacopsylla melanoneura (Förster) and Cacopsylla affinis (Löw) were also collected. Due to the fact that these latter two species live together on Crataegus spp., migrate to conifers as shelter plants for aestivation and overwintering and have similar morphological characters, all Cacopsylla spp. ","1. Usage
2. Neutral
3. Support",usage
"In addition, the limited number of sampled trees leads to a smaller chance of encountering an infected host, especially when infection rates are low.Similarly, phytoplasmas could not be detected in any of the conifer samples.As infections by a group 16SrXXI phytoplasma have been reported in Pinus spp. and other conifers (Kamińska et al. 2011;Schneider et al. 2005), further research might reveal the occurrence of phytoplasma-infected conifers in northwestern Italy.In most of the insect species tested, we observed high infection rates of CLeu which, in the case of C. pyrisuga, were higher than the percentages observed in Florida, USA (8.7%) and Indonesia (45.2%) for Diaphorina citri with 'Ca.Liberibacter asiaticus' (Manjunath et al. 2008; @@CITATION@@ .Such a high infection rate supports a hypothesis of CLeu's role in the insect host as a beneficial symbiont, similar to 'Ca. Liberibacter asiaticus' in Diaphorina citri, whose role as a beneficial symbiont rather than a simple ingested bacterium passing through the gut was suggested by analysis of the bacterium's genome content (Duan et al. 2009). However, for the most part, the interaction between liberibacters and their hosts remains unclear. ","1. Support
2. CoCoRes
3. CoCoXY",cocores
"The influence of phytoplasma infections on salicylic acid, jasmonates, auxins, abscisic acid, ethylene and cytokinine biosynthesis and pathways was recently reviewed by Dermastia [26], illustrating the diverse and complex interactions between the specialized pathogens and their host plants.In the case of phytoplasmas, the impact on vector insects that are crucial for the distribution of phytoplasmas, has to be taken into consideration.So far, all phytoplasmas of the group 16SrX causing important fruit crop diseases are vectored by jumping plant lice (Hemiptera: Psylloidea) or succinctly psyllids [28][29][30].Psyllid nymphs and adults feed on plant phloem and occasionally on xylem sap [31] [32] @@CITATION@@ .Therefore, morphological changes of the plant vascular system may affect psyllid feeding behaviour and suitability of plants as hosts of vector insects. Additionally, phloem/xylem components may influence host choice and oviposition behaviour of psyllids [31,32,34,35]. To detect appropriate host plants for feeding and reproduction, volatile signals are used by many vectoring psyllid species during migration [36][37][38][39][40][41][42][43]. ","1. Usage
2. Support
3. Neutral",neutral
"These are partly congruent with a more recent phylogeny based on phosphoglycerate kinase (Pgk) amino acid sequences (Wolf et al., 2004).A recent multilocus phylogeny confirmed four well-established major groups of Tenericutes (""Acholeplasma"", ""Spiroplasma"", ""Pneumoniae"" and ""Hominis"") (Gupta et al., 2018), but phytoplasmas were underrepresented in this dataset.In 2007, the first extensive phylogenetic investigation to include a large sample of phytoplasma groups, other Mollicutes and Gram-positive bacteria showed that Mollicutes includes two main subclades: one comprising 46 phytoplasma strains and two Acholeplasma species, and the second including 14 representative Mollicutes from the other orders (Martini et al., 2007).The most recent phylogeny of phytoplasmas, based on 16S and including 145 taxa and two species of Acholeplasma, provided further insights, suggesting that each phylogenetically distinct subgroup is equivalent to a putative species in the provisional ""Ca. Phytoplasma"" genus @@CITATION@@ .Tenericutes bacteria have evolved a broad range of lifestyles, including free-living, commensalism and parasitism (Razin, 2006;Rivera-Tapia et al., 2002;Tully, 1996). Most of the well-known species are associated with humans or other vertebrates and are commensals inhabiting different organs. Some are suspected to be associated with diseases, whereas others are proven pathogens causing important diseases to animals (mycoplasmas) or plants (phytoplasmas and three species of Spiroplasma). ","1. CoCoRes
2. CoCoXY
3. Similar",neutral
"The life cycle of B. cockerelli is highly dependent on temperature and can be completed in 21 to 35 d, with an optimum at 27 °C; however, oviposition, hatching, and survival are inhibited at temperatures higher than 35 °C (List 1939; Abdullah 2008; Yang &amp; Liu 2009;Yang et al. 2010;Butler &amp; Trumble 2012).Interestingly, both adults and nymphs are cold tolerant (Henne et al. 2010).CaLsol is especially important in potato (Solanum tuberosum L.) in which it causes a disease called ""Zebra chip"" (ZC) in the USA, Mexico, Honduras, Guatemala, and New Zealand (Abad et al. 2009, Nelson et al. 2011, Munyaneza 2012).Bactericera cockerelli was associated with zebra chip disease in potato in 2007 @@CITATION@@ ) and later with CaLsol in 2009 (Secor et al. 2009).The zebra chip disease is caused by the haplotypes A and B, whereas the rest of the haplotypes (C, D, E, and H) of the bacterium cause diseases in Apiaceae. Recently, haplotypes G and F have been found in Solanaceae in the USA (Mauck et al. 2019;Swisher Grimm &amp; Garczynski 2019). The zebra chip disease in potato is characterized by collapsed stolons, aerial tubers, upward rolling of leaflets, purple or yellow discoloration, leaf scorch and early senescence; also, dark and stripped pattern is clearly visible in infected raw tubers and in fried chips (Munyaneza 2012). ","1. Usage
2. Support
3. Similar",neutral
