Response,True_label
Motivation,motivation
Support,support
Support,support
Neutral,neutral
Usage,neutral
Usage,usage
CoCoRes,cocores
Neutral,neutral
Support,neutral
Neutral,neutral
Neutral,neutral
Neutral,neutral
Neutral,neutral
Usage,neutral
Neutral,neutral
Support,neutral
Similar,neutral
Neutral,neutral
Basis,neutral
Usage,neutral
Neutral,neutral
Usage,weakness
Usage,neutral
Usage,usage
Support,neutral
Neutral,neutral
Neutral,neutral
Support,neutral
Neutral,neutral
Neutral,neutral
Neutral,neutral
Usage,neutral
Support,neutral
Usage,usage
Future,neutral
Usage,neutral
Support,neutral
Similar,cocoxy
Usage,usage
Support,neutral
Support,neutral
Support,neutral
CoCoRes,cocores
Neutral,neutral
Usage,neutral
Usage,neutral
Neutral,neutral
Usage,neutral
Usage,neutral
Support,neutral
Usage,neutral
Similar,neutral
Neutral,neutral
Usage,neutral
Usage,neutral
Support,neutral
Usage,basis
Motivation,motivation
Usage,usage
Usage,usage
CoCoRes,cocoxy
Usage,usage
Neutral,neutral
Usage,neutral
CoCoRes,neutral
CoCoGM (Comparison of Goals or Methods),neutral
Similar,cocoxy
CoCoGM (Comparison of Goals or Methods),neutral
Usage,neutral
CoCoRes,cocoxy
Neutral,neutral
Neutral,neutral
Support,neutral
Support,neutral
Neutral,neutral
Support,neutral
Support,support
Neutral,neutral
Neutral,neutral
Usage,neutral
Neutral,neutral
Usage,neutral
Support,neutral
Neutral,neutral
CoCoRes,usage
Support,neutral
Neutral,neutral
CoCoRes,neutral
Usage,basis
Neutral,neutral
Neutral,neutral
Usage,usage
Neutral,neutral
Neutral,neutral
Usage,usage
Usage,neutral
Weakness,weakness
CoCoRes,cocoxy
CoCoRes,cocoxy
Neutral,cocoxy
