Response,True_label
Motivation,motivation
Support,support
Support,support
Neutral,neutral
Usage,neutral
Usage,usage
CoCoRes,cocores
Neutral,neutral
Support,neutral
Neutral,neutral
Usage,neutral
Neutral,neutral
Neutral,neutral
Neutral,neutral
Support,neutral
Support,neutral
Similar,neutral
Neutral,neutral
Support,neutral
Usage,neutral
Neutral,neutral
Usage,weakness
Future,neutral
Usage,usage
Support,neutral
Neutral,neutral
Neutral,neutral
Usage,neutral
Neutral,neutral
Support,neutral
Neutral,neutral
Usage,neutral
Support,neutral
Usage,usage
CoCoRes,neutral
Usage,neutral
Support,neutral
Similar,cocoxy
Usage,usage
Support,neutral
CoCoRes,neutral
Usage,neutral
CoCoRes,cocores
Neutral,neutral
Usage,neutral
Neutral,neutral
Neutral,neutral
Usage,neutral
Usage,neutral
Similar,neutral
Usage,neutral
Similar,neutral
Usage,neutral
Usage,neutral
Usage,neutral
Support,neutral
Usage,basis
Motivation,motivation
Usage,usage
Usage,usage
CoCoRes,cocoxy
Usage,usage
Neutral,neutral
Usage,neutral
CoCoRes,neutral
Support,neutral
Similar,cocoxy
CoCoRes,neutral
Neutral,neutral
Support,cocoxy
Usage,neutral
Neutral,neutral
Usage,neutral
CoCoRes,neutral
Neutral,neutral
Future,neutral
Support,support
CoCoGM (Comparison of Goals or Methods),neutral
Neutral,neutral
Usage,neutral
Neutral,neutral
Usage,neutral
Neutral,neutral
Neutral,neutral
Weakness,usage
Support,neutral
Neutral,neutral
CoCoRes,neutral
Usage,basis
Neutral,neutral
Support,neutral
Usage,usage
Neutral,neutral
Neutral,neutral
Usage,usage
Usage,neutral
Weakness,weakness
CoCoRes,cocoxy
CoCoRes,cocoxy
CoCoGM,cocoxy
